,ra,dec,plx,pmra,pmdec,g_mag,bp_mag,rp_mag,label,g_rp,bp_g,bp_rp
50008,0.264,-0.39,12.11,-56.6,-78.5,19.324,19.802,18.636,1,0.6880000000000024,0.477999999999998,1.1660000000000004
32346,3.348,0.818,13.28,-72.9,-3.2,16.732,16.813,16.578,0,0.1539999999999999,0.0809999999999995,0.2349999999999994
90533,4.908,0.119,36.284,-906.8,-1073.2,18.072,18.563,17.422,2,0.6499999999999986,0.4909999999999996,1.1409999999999982
23983,1.084,0.644,21.41,195.2,-53.5,18.152,18.578,17.562,0,0.5899999999999999,0.4259999999999984,1.0159999999999982
48850,3.838,-0.719,13.986,-147.2,-137.6,18.849,19.233,18.243,1,0.6060000000000016,0.3840000000000003,0.990000000000002
89982,1.938,1.051,29.163,977.3,-2751.6,18.496,19.095,17.787,2,0.7089999999999996,0.5990000000000002,1.3079999999999998
95428,3.96,-1.424,39.481,-3912.7,-624.0,18.083,18.71,17.374,2,0.7089999999999996,0.6270000000000024,1.336000000000002
65440,2.061,-0.562,15.251,135.2,-223.8,15.566,15.565,15.573,1,-0.0069999999999996,-0.0010000000000012,-0.0080000000000008
104430,2.534,0.632,13.839,47.0,-479.3,16.099,16.134,16.031,2,0.0680000000000013,0.0350000000000001,0.1030000000000015
89725,6.061,0.945,16.395,-282.7,-503.6,19.493,20.022,18.746,2,0.7469999999999999,0.5289999999999999,1.2759999999999998
98203,6.107,0.423,16.972,280.9,-961.2,19.564,20.216,18.769,2,0.7950000000000017,0.652000000000001,1.4470000000000027
69912,1.209,0.64,21.892,21.9,124.1,18.448,18.985,17.818,1,0.629999999999999,0.536999999999999,1.166999999999998
61518,0.074,-0.122,16.012,-46.6,-104.8,19.618,20.189,18.949,1,0.6689999999999969,0.5710000000000015,1.2399999999999984
96910,1.289,-0.902,12.983,318.0,-565.5,16.783,16.874,16.607,2,0.1760000000000019,0.0909999999999975,0.2669999999999994
7154,0.248,0.89,12.779,125.8,-55.8,16.255,16.284,16.21,0,0.0449999999999981,0.0289999999999999,0.073999999999998
60399,3.879,-0.657,12.064,-117.8,-154.2,18.785,19.042,18.282,1,0.5030000000000001,0.2570000000000014,0.7600000000000016
107536,0.157,-0.91,14.936,462.9,-598.8,19.911,20.5,19.224,2,0.6870000000000012,0.5889999999999986,1.2759999999999998
44202,3.706,0.465,14.249,-220.5,20.5,18.952,19.481,18.278,1,0.674000000000003,0.5289999999999999,1.203000000000003
54188,1.884,-0.556,13.973,73.4,-36.8,19.385,19.981,18.778,1,0.6070000000000029,0.5960000000000001,1.203000000000003
